VAR_NAME,1/06/2017_12:00:00 PM
1,2.098886521
2,2.087136989
3,-0.219440788
4,0.132878678
5,0.142309677
6,0.064622411
7,1.420658226
8,0.063471602
9,-0.12469042
10,-0.19655075
11,-0.197975842
12,-0.197125285
13,-0.190409222
14,-0.186046583
16,0.338955363
18,0.246123172
20,-0.226500285
21,-0.227825508
22,-0.216647843
23,-0.233671205
24,-0.215337177
25,-0.117136047
26,-0.215393312
27,-0.224750858
28,-0.236936764
29,-0.249744311
30,0.108509858
31,1.607404461
32,1.602519866
33,0.493766444
34,0.434993339
35,0.289171715
39,1.509085482
40,0.008667004
41,0.008309633
42,0.772812325
43,0.780598688
44,0.781988745
45,0.76102023
46,0.772697503
47,0.77492302
48,0.775767352
49,0.77725129
50,0.860464648
51,0.77690007
52,0.456403065
53,0.74658613
54,0.709547581
55,0.451528426
56,0.453045021
57,0.793057718
58,0.756096489
59,0.716731249
60,0.451324104
62,1.590851982
63,1.658727545
64,1.516427415
65,0.505856803
66,2.178021819
67,2.212655232
68,2.241987908
69,2.254631867
70,2.215148107
71,0.506416847
72,0.530696139
73,0.288119678
74,0.304141097
75,-0.103551845
76,-0.103564067
77,0.02540173
78,0.018891735
79,0.410457912
80,0.499761624
81,0.54170948
82,0.590061258
83,0.597729483
84,-0.005223851
85,0.610042023
86,-0.159320568
87,-0.125289204
88,0.289709282
89,2.164585472
90,2.141611305
91,2.718649495
92,0.51187926
93,0.605562307
94,0.56702651
95,2.444982488
96,1.413335732
97,1.405400495
98,1.399837077
99,1.401095853
100,1.446156592
101,-0.175443452
102,-0.175462985
103,1.497137069
104,1.543998894
105,1.474783883
106,1.566600075
107,-0.124700881
108,1.459205814
109,1.51149334
110,1.559343653
111,1.494190545
112,1.49246872
113,1.479422962
114,1.498394086
115,1.495802442
116,1.530044818
117,1.483036551
118,0.126474224
119,0.121719602
120,0.107183814
121,-0.201647314
122,-0.110120725
123,-0.178987642
124,-0.181121214
125,-0.161508062
126,-0.155904144
127,-0.19029356
128,-0.199389421
129,-0.114037747
130,-0.11172758
131,0.582968922
132,0.595499293
133,0.600634509
134,0.600498482
135,1.412667223
136,-0.262674988
137,-0.267316535
138,0.44033915
139,-0.030057793
140,-0.01044201
141,-0.007466951
142,-0.01182128
143,-0.067550333
