,GSTONE2,JLA01,ROMA_8,YWPS1,BBTHREE1,YABULU2,BARCALDN,LOYYB1,POR03,TALWA1,TORRB2,WKIEWA2,TORRB1,BRAEMAR2,TARONG#4,MP2,BARRON-2,BW02,NPS,UPPTUMUT,CPP_4,BW03,HUMENSW,JLA02,LD01,TVPP104,LYA1,MINTARO,VPGS6,MPP_2,TUMUT3,URANQ13,VPGS2,W/HOE#1,BRAEMAR1,QPS5,LD02,BLOWERNG,ER04,ANGAST1,KAREEYA3,CPSA,STAN-3,YWPS2,LOYYB2,DEVILS_G,LI_WY_CA,EILDON2,VPGS4,TARRALEA,JBUTTERS,TORRB4,BRAEMAR5,BRAEMAR3,VPGS1,KPP_1,KAREEYA1,MORTLK11,MCKAY1,EILDON1,BBTHREE2,JLA03,MEADOWBK,VPGS5,KAREEYA2,HVGTS,OAKEY2,JLA04,TVCC201,YABULU,YWPS3,JLB03,DRYCGT2,TARONG#3,TREVALLN,CG3,SHGEN,GSTONE1,LADBROK1,REECE1,TARONG#2,BARRON-1,OSB-AG,LEM_WIL,LONSDALE,LD04,CG2,VP5,GORDON,URANQ11,STAN-1,LADBROK2,REECE2,DARTM1,LD03,ER01,POR01,CG4,QPS2,AGLHAL,TRIBUTE,GSTONE6,TORRA1,TORRA3,LYA2,BRAEMAR7,LYA3,W/HOE#2,QPS1,CPP_3,ER03,BBTHREE3,URANQ12,LNGS2,POAT220,GUTHEGA,ROMA_7,STAN-2,GSTONE5,MSTUART1,URANQ14,CALL_B_2,MSTUART3,OAKEY1,ER02,DDPS1,AGLSOM,MACKNTSH,BASTYAN,QPS4,MORTLK12,QPS3,SWAN_E,LNGS1,JLB02,BRAEMAR6,TORRA2,TUNGATIN,CG1,LK_ECHO,MURRAY,PTSTAN1,JLB01,HUMEV,STAN-4,TARONG#1,GSTONE3,TORRA4,MP1,DRYCGT3,PPCCGT,BW04,SNUG1,LYA4,MSTUART2,YARWUN_1,TNPS1,BW01,YWPS4,GSTONE4,CETHANA,VPGS3,POAT110,SITHE01,WKIEWA1,MPP_1,VP6,DRYCGT1,TORRB3,FISHER,MACKAYGT,KAREEYA4,CALL_B_1
2017-06-01 00:30:00,0.0,0.0,0.0,327.15456198186365,0.0,59.61865645306182,0.0,530.3793760325207,0.0,0.0,59.30540792654064,0.0,59.219453268750904,0.0,247.83042169941598,545.5723643010095,0.0,549.733774756216,99.92228968056698,212.1305910210191,248.01225381904757,596.0707455881692,0.0,0.0,317.9970948967255,0.0,555.7299220944024,0.0,0.0,429.0707749186629,0.0,0.0,0.0,0.0,0.0,0.0,248.62799662202113,0.0,690.2572032646403,0.0,17.89799126697699,141.47774670843157,143.9079377891982,376.1650268183282,530.9386664610166,61.01968596852494,61.56161190317314,0.0,0.0,69.11085411727188,118.7810705414983,58.90538817298072,0.0,0.0,0.0,745.0905143194452,17.846335823593733,45.45679017726373,0.019835690259169623,0.0,0.0,0.0,7.960277387649242,0.0,17.865758270305832,0.0,0.0,0.016529741882641353,205.99859565214456,85.45216355434786,391.4776391758476,0.0,0.0,249.5164570244196,77.4154212337237,0.0,0.0,156.20605913798659,42.46821284488216,112.39729579724157,272.95564093185016,0.0,151.64220236311186,53.65554215105383,0.0,0.0,0.0,507.9052496983986,33.08495279157548,0.0,260.7401517627331,42.5723502187428,113.38908031020001,0.0,390.81266418965095,691.2738055320614,0.0,0.0,0.0,0.0,0.0,158.95412872597572,46.443559566535,0.0,526.4722789621271,0.0,554.5728401626174,0.0,0.0,402.6107939059732,690.5754470791583,0.0,0.0,0.0,151.5192227364792,0.0,0.0,250.6441209745759,157.82597218951125,0.0,0.0,347.0915398873934,0.0,0.0,693.3565497033259,252.71186440508185,0.0,73.68463700214711,74.73096966331832,0.0,0.0,0.0,0.0,0.0,0.19835690259169625,0.0,51.22145005120291,0.0,0.0,0.0,67.41680517340356,0.0,0.0,5.4052255956237225,313.5361440299411,283.93138293002727,160.66082292238423,0.0,546.4526226454858,0.0,232.46926148998728,0.0,0.0,554.9034350002702,0.0,126.49880702650354,357.1416130341942,654.9579890634851,386.76499323536467,0.0,0.0,0.0,56.860662408046366,79.33674916955577,0.0,0.0,497.2311639187603,0.0,0.0,45.580763241383536,0.0,17.846749067140802,346.92624246856707
2017-06-01 01:00:00,0.0,0.0,0.0,328.3472213280582,0.0,58.1792474346136,0.0,531.6594657685654,0.0,0.0,59.67700617847355,0.0,59.67700617847355,0.0,242.41142233143157,483.9898100861038,0.0,538.5170150512232,16.598128402510245,152.60729046760164,289.43737565615805,579.0570911812177,0.0,0.0,318.23644385173054,0.0,556.5035410459615,0.0,0.0,430.3494764835616,0.0,0.0,0.0,0.0,0.0,0.0,248.83829390495407,0.0,691.1535265135166,0.0,17.937582859362006,142.0240403245075,139.21706597125552,378.1637987098635,532.5319877279512,61.151427249259775,55.48252609747089,0.0,0.0,69.35986939935367,122.69435316479172,59.789732543654125,0.0,0.0,0.0,746.6919963851896,17.883706287768344,0.0,0.01989288797304599,0.0,0.0,0.0,8.092201374704747,0.0,17.890337250426025,0.0,0.0,0.0,206.51303829696164,82.62512014249049,393.729574086828,0.0,0.0,244.20177893352434,77.47122430969515,0.0,0.0,143.2536562004161,42.82441458397475,118.17370929258298,261.67436387877575,0.0,141.07704270803202,47.92528260839663,0.0,0.0,0.0,481.1841039044601,23.094555458830534,0.0,259.17118542194476,42.86585810058525,114.84993926041992,0.0,344.8960568119119,694.539450216411,0.0,0.0,0.0,0.0,0.0,149.7519996049444,46.28332529284208,0.0,527.6588534850448,0.0,556.6693151124035,0.0,0.0,403.7717525967212,691.6177005305168,0.0,0.0,0.0,73.20660190569953,0.0,0.0,238.5350477642652,145.08131859842098,0.0,0.0,348.2913235411909,0.0,0.0,695.6957210143626,253.86347612160117,0.0,75.21335665864444,76.62243290792055,0.0,0.0,0.0,0.0,0.0,0.1989288797304599,0.0,49.42616453566832,0.0,0.0,0.0,9.497071935915207,0.0,0.0,5.371079752722417,305.88630905661114,271.3389936100879,143.89188801395863,0.0,494.95579110509607,0.0,233.4486252919931,0.0,0.0,556.0062188466353,0.0,127.26143532623286,358.17145790113705,642.5195614288208,387.6930788891478,0.0,0.0,0.0,43.20238111320328,79.37210911284751,0.0,0.0,480.6121651400878,0.0,0.0,45.68401723010011,0.0,17.894481602087076,348.10897704132657
2017-06-01 01:30:00,0.0,0.0,0.0,327.18228456755605,0.0,58.10582708642186,0.0,530.3822396091737,0.0,0.0,59.29418172532154,0.0,59.29914358153287,0.0,236.3332163072173,444.6443595846949,0.0,505.0838716937077,0.0,119.40206321259434,381.38067800474545,543.2075049582777,0.0,0.0,289.91507595482074,0.0,555.8932908753296,0.0,0.0,428.24953983902043,0.0,0.0,0.0,0.0,0.0,0.0,247.9284391554864,0.0,686.4025056039185,0.0,17.8858376897525,141.69945914264977,142.00832972994849,375.72431243347467,531.1905904901291,61.005372115064624,54.54456725948487,0.0,0.0,69.20135462726509,127.26168645408531,59.046088914755344,0.0,0.0,0.0,747.1232391834682,17.83249773548077,0.0,0.019847424845295916,0.0,0.0,0.0,7.988621579273014,0.0,17.861028408695876,0.0,0.0,0.0,206.01626327836328,82.55537356772076,392.0360558206029,0.0,0.0,239.06223556949342,77.5108396002996,0.0,0.0,126.0807646757902,9.525109973671597,117.89040394667718,255.86638529727313,0.0,140.76455281112038,46.5256717415145,0.0,0.0,0.0,448.7213348988121,21.87206065376455,0.0,258.4796394922829,10.064298348635468,110.17140963392754,0.0,290.96324492413396,687.2419177047565,0.0,0.0,0.0,0.0,0.0,125.90709970839389,45.38977550043302,0.0,526.1221536073858,0.0,554.5701292189767,0.0,0.0,402.0302696042054,685.9724846814117,0.0,0.0,0.0,31.452293542039815,0.0,0.0,238.0937870899755,123.85206591482262,0.0,0.0,347.032223419999,0.0,0.0,693.7377979218943,253.5087973593602,0.0,72.44806915734969,76.64910741627067,0.0,0.0,0.0,0.0,0.0,0.19847424845295913,0.0,46.50192760559124,0.0,0.0,0.0,0.0,0.0,0.0,5.325725666821071,300.72157867925847,264.8804323509388,126.05182216850955,0.0,447.4146896078345,0.0,226.54330033730773,0.0,0.0,554.4047340119325,0.0,126.20315878295497,357.3528942632654,600.6409922583049,385.96667030015743,0.0,0.0,0.0,7.297236534787131,79.566252148895,0.0,0.0,450.9169463486104,0.0,0.0,45.620959958983086,0.0,17.872606073188965,347.0653057693121
2017-06-01 02:00:00,0.0,0.0,0.0,326.82027911946034,0.0,57.81642294424263,0.0,531.1361047237467,0.0,0.0,43.93987768661395,0.0,43.89516275002648,0.0,223.77341764492516,443.94479873141574,0.0,488.96196854359994,0.0,91.21615208615768,403.5564462859802,531.5239819570114,0.0,0.0,259.2876200837531,0.0,554.9620463132946,0.0,0.0,427.56587975808674,0.0,0.0,0.0,0.0,0.0,0.0,249.66771983900298,0.0,651.5173307510892,0.0,17.9257212452853,141.88422997338927,142.22662383560078,376.38027781922676,531.5719345862295,60.98396280774804,55.5456196045849,0.0,0.0,69.24190901617695,114.24500355998873,45.59267423158759,0.0,0.0,0.0,746.4123744350227,17.824698610772874,0.0,0.019873305149983693,0.0,0.0,0.0,7.823911567844505,0.0,17.861961057929093,0.0,0.0,0.033122175249972824,203.48773478864425,82.64811772914726,393.29522951571397,0.0,0.0,223.87278748289262,77.3220918222568,0.0,0.0,123.5788358576486,0.0,97.33945193683768,243.44798808730025,0.0,141.36875618440902,46.98380559208645,0.0,0.0,0.0,446.29232793393123,53.57219212264771,0.0,258.4523450682993,0.0,19.5768633376052,0.0,258.34987499472845,652.9416008479257,0.0,0.0,0.0,0.0,0.0,124.27440153789803,39.17720367302759,0.0,526.8081973508177,0.0,554.9620463132946,0.0,0.0,402.9188493807445,650.5774625306311,0.0,0.0,0.0,56.18200589431521,0.0,0.0,238.65048445032974,122.8832685212904,0.0,0.0,347.8491010363022,0.0,0.0,681.2858874131109,253.53667807112453,0.0,16.47993995173274,75.42582410367315,0.0,0.0,0.0,0.0,0.0,0.19873305149983694,0.0,36.80306245880745,0.0,0.0,0.0,0.0,0.0,0.0,5.233303689495706,255.63695354761657,243.2658194356429,124.76709389474138,0.0,445.44774889944966,0.0,163.3463147841323,0.0,0.0,555.9557115707938,0.0,126.8645556424459,357.818869162109,572.3428796218689,385.58173899960883,0.0,0.0,0.0,36.74408511355735,79.93105601012911,0.0,0.0,445.4394368895708,0.0,0.0,45.0908732765505,0.03709683627996956,17.8772800639822,347.7165957742146
2017-06-01 02:30:00,0.0,0.0,0.0,327.8461521069029,0.0,57.76342726123299,0.0,530.6368529399715,0.0,0.0,40.62296686550855,0.0,40.23754658374034,0.0,223.01443415806645,370.6279489496317,0.0,458.57569791068534,0.0,23.051829906947685,402.8551751384038,496.8075504313899,0.0,0.0,245.13474625225223,0.0,555.4683717500517,0.0,0.0,426.31949407171567,0.0,0.0,0.0,0.0,0.0,0.0,249.45212003626875,0.0,625.7827722874072,0.0,17.88813273408296,141.43757327979742,140.20697098254766,377.4723415631293,531.1343759363124,60.89345349026564,56.60317160914526,0.0,0.0,69.1936942995028,107.6579751000852,40.51048369314701,0.0,0.0,0.0,745.445014400159,17.86869630356461,0.0,0.019849971593212095,0.0,0.0,0.0,7.734356164893555,0.0,17.886892110858383,0.0,0.0,0.016541642994343412,205.95833614161316,82.46175441608713,392.9268413132557,0.0,0.0,225.29718254545017,77.57537292552968,0.0,0.0,126.96538080308285,0.0,23.621466195922395,242.7486125961539,0.0,141.16142378332128,46.74668310201449,0.0,0.0,0.0,444.2299629863338,19.0864225859076,0.0,259.07521423157084,0.0,0.0,0.0,244.56095304839297,625.3526531779396,0.0,0.0,0.0,0.0,0.0,127.48643594074746,41.34035145554442,0.0,526.6859129398943,0.0,555.6337881799952,0.0,0.0,402.44577609095103,624.6868900931962,0.0,0.0,0.0,5.228905983712721,0.0,0.0,238.23671239885243,126.29957801839622,0.0,0.0,347.4737626641636,0.0,0.0,675.1140854531235,252.76431110877664,0.0,0.0,70.40454422085303,0.0,0.0,0.0,0.0,0.0,0.19849971593212096,0.0,37.20013535966873,0.0,0.0,0.0,0.0,0.0,0.0,5.3760339731616105,247.62839893364944,244.3696985720924,126.50221149091264,0.0,385.5608807711605,0.0,180.52505386353457,0.0,0.0,555.1375388901649,0.0,126.82146850903207,357.39874846076964,542.5576309721167,385.8294244201878,0.0,0.0,0.0,1.2389690602763215,79.58453742526562,0.0,0.0,443.35325259930505,0.0,0.0,44.57972786975549,0.0,17.872831714313197,347.27524309825975
2017-06-01 03:00:00,0.0,0.0,0.0,327.0648419652989,0.0,58.18872599362847,0.0,530.7196265331544,0.0,0.0,40.370981255211596,0.0,40.1724273083029,0.0,223.57174421919711,282.554682691228,0.0,421.04610202545234,0.0,0.0,403.1927482912737,464.08676684768454,0.0,0.0,244.98456463191073,0.0,555.7855897219384,0.0,0.0,428.8765253227938,0.0,0.0,0.0,0.0,0.0,0.0,248.6919324908818,0.0,618.9919493432695,0.0,17.89508811920273,141.96546314095053,142.09844133766023,377.3681038528867,531.2172738726053,60.8974816681682,56.18823044849057,0.0,0.0,69.21259831454086,109.48429763244943,40.407382812144846,0.0,0.0,0.0,745.1481550873042,17.863650410942185,0.0,0.019855394690870082,0.0,0.0,0.0,7.7932159423069205,0.0,17.883505805633042,0.0,0.0,0.0,205.91533283572468,82.6331987824259,393.31442469396984,0.0,0.0,225.3587347052241,77.16967586538286,0.0,0.0,130.93805325055075,0.0,0.0,243.47678566987548,0.0,140.21052422580334,46.74290833475666,0.0,0.0,0.0,440.74013357828596,21.944963191207457,0.0,258.7819873987041,0.0,0.0,0.0,248.25757256739183,619.3973419005216,0.0,0.0,0.0,0.0,0.0,130.73536110846527,42.564687991470144,0.0,526.3334209304811,0.0,555.9510513443623,0.0,0.0,364.56160095969824,617.6930607156957,0.0,0.0,0.0,7.052874458933343,0.0,0.0,238.27423047833562,131.22760778056016,0.0,0.0,347.3205015577423,0.0,0.0,686.8849614358877,253.32158674247617,0.0,0.0,14.889893056544548,0.0,0.0,0.0,0.0,0.0,0.19855394690870085,0.0,38.338353062998976,0.0,0.0,0.0,0.0,0.0,0.0,5.327864242050139,249.05284234556152,244.48609825742895,130.15624708459777,0.0,294.46377800134076,0.0,173.6859552419147,0.0,0.0,555.7855897219384,0.0,126.67245262446218,357.49639133681325,476.9017430305573,387.56954421569236,0.0,0.0,0.0,1.2591629466460108,79.29935060837958,0.0,0.0,442.76702687066546,0.0,0.0,45.43245228515922,0.03706340342295749,17.869855221783073,347.2874141971062
2017-06-01 03:30:00,0.0,0.0,0.0,325.9745305880908,0.0,57.58431451714948,0.0,526.2054368169763,0.0,0.0,40.30360075218063,0.0,40.687397707212995,0.0,235.6414894423062,283.8785619724346,0.0,387.42170077179765,0.0,20.393116811961733,399.5793746896238,433.9038010391973,0.0,0.0,246.93089655647833,0.0,550.7650320507164,0.0,0.0,424.26785189314796,0.0,0.0,0.0,0.0,0.0,0.0,247.3214542424878,0.0,618.3354333479597,0.0,17.740358183199998,140.7163259303491,142.3657113863378,375.0983003765044,526.822047629184,60.302861520540716,56.13890894197076,0.0,0.0,68.62420768612857,107.72557267745998,40.59390870534614,0.0,0.0,0.0,739.4488033093361,17.745278656982475,0.0,0.019681895129864794,0.0,0.0,0.0,7.7251175959450915,0.0,17.736667827863155,0.0,0.0,0.016401579274887328,204.30790911524565,82.02922826844154,390.3405635431889,0.0,0.0,236.46157332652433,76.57572448159458,0.0,0.0,130.71238275089868,0.0,0.0,254.89694843149772,0.0,139.5790847076925,46.28525671373203,0.0,0.0,0.0,442.30958417505025,22.2775697021182,0.0,255.0445692056034,0.0,0.0,0.0,248.1087316878403,618.7782907498031,0.0,0.0,0.0,0.0,0.0,129.27724456434606,40.9826523766878,0.0,521.570220941417,0.0,551.0930636362142,0.0,0.0,265.7096846479934,617.621989251871,0.0,0.0,0.0,17.76629564066531,0.0,0.0,236.02186666805977,128.04302244359494,0.0,0.0,344.2035525037331,0.0,0.0,686.6807863037304,251.52703238909947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19681895129864793,0.0,36.86983336166524,0.0,0.0,0.0,0.0,0.0,0.0,5.3961195814379295,273.6439502623781,263.5077824712874,129.07632357807077,0.0,278.08054793339244,0.0,207.94003064487978,0.0,0.0,551.0930636362142,0.0,125.2145750181144,354.3725316541632,435.13798215600025,386.63671298691196,0.0,0.0,0.0,1.2645617620938128,79.04256464864375,0.0,0.0,442.8344363520045,0.0,0.0,45.21915406086436,0.0,17.718216051178906,344.35114867546974
2017-06-01 04:00:00,0.0,0.0,0.0,330.3278681149123,0.0,58.223370385218985,0.0,530.8318436778704,0.0,0.0,40.718784589557444,0.0,41.02826324011212,0.0,239.308093524938,278.22876247068956,0.0,371.10546854276953,0.0,26.321915549158074,403.0959440024313,412.7981510012677,0.0,0.0,251.2517848811681,0.0,555.7375981618187,0.0,0.0,426.6916207447019,0.0,0.0,0.0,0.0,0.0,0.0,249.52335985754863,0.0,584.2981879360248,0.0,17.902181458355965,141.71102047867265,141.6650984808352,377.281982216796,531.3295846459251,60.828386239187395,56.21277365079963,0.0,0.0,69.22722969359404,106.41431343159543,40.96537453037374,0.0,0.0,0.0,745.3057053864594,17.8856317978985,0.0,0.019859592548963148,0.0,0.0,0.0,7.785403810093813,0.0,17.88521805638706,0.0,0.0,0.0,206.0085117886678,82.66556391485535,393.6311667073477,0.0,0.0,240.21832485009884,77.13799552668713,0.0,0.0,126.91106790817115,0.0,0.0,258.98564808369923,0.0,141.80576562982557,46.719691471435794,0.0,0.0,0.0,447.8876000305718,18.342107842568506,0.0,259.4324822961868,0.0,0.0,0.0,249.2068691158581,578.3982488776313,0.0,0.0,0.0,0.0,0.0,126.59249025429696,38.31554716078463,0.0,526.7756923612475,0.0,556.2340879755428,0.0,0.0,247.53741384238066,583.0486802966556,0.0,0.0,0.0,21.144005077203158,0.0,0.0,238.1591399675424,128.2722807907301,0.0,0.0,347.46012626946595,0.0,0.0,691.9371828613372,254.05452118358792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19859592548963148,0.0,35.30161567636888,0.0,0.0,0.0,0.0,0.0,0.0,5.246242365017765,295.0142522797456,268.48515484125267,127.05587909214005,0.0,279.5444720618207,0.0,221.84898785117966,0.0,0.0,555.9030947663935,0.0,126.29707716016509,357.5719737738778,402.5580866574276,387.0909047361944,0.0,0.0,0.0,1.2643940589506537,79.963234402431,0.0,0.0,450.13008067752486,0.0,0.0,45.589349662190656,0.037071239424731214,17.875288260112587,347.5428795366514
2017-06-01 04:30:00,0.0,0.0,0.0,330.93293940008556,0.0,58.53582757285568,0.0,533.8682148902865,0.0,0.0,41.14195621336133,0.0,40.8308167378124,0.0,249.19443450783058,281.1569509241568,0.0,385.87951522612747,0.0,91.6874042592549,367.419120970655,421.60647654401845,0.0,0.0,247.45574718612403,0.0,559.3855170029556,0.0,0.0,431.1860699920165,0.0,0.0,0.0,0.0,0.0,0.0,251.78902326673827,0.0,494.9238983550835,0.0,18.011564746984664,142.14508102378937,151.17718380029618,380.3075097009798,534.2435139878496,61.13580386984798,57.679867900993386,0.0,0.0,69.58210255933705,106.43299450221612,41.26008938322216,0.0,0.0,0.0,749.1681282149209,17.94459488660581,0.0,0.01996616955394249,0.0,0.0,0.0,7.9318004493383,0.0,18.00449339526764,0.0,0.0,0.0,206.9044218812701,82.80969820806125,395.50875289087384,0.0,0.0,249.36082424565578,77.36560927585586,0.0,0.0,142.29639297590643,0.0,0.0,256.5320101381418,0.0,142.4070371683371,46.88722150250829,0.0,0.0,0.0,489.025572410136,16.957560639316814,0.0,251.34080439026926,0.0,0.0,0.0,250.4319177306144,493.3973316187179,0.0,0.0,0.0,0.0,0.0,144.07255014247588,39.9352159001482,0.0,529.2698779257588,0.0,558.719978017824,0.0,0.0,248.49978318364202,496.504533478601,0.0,0.0,0.0,40.64780682768096,0.0,0.0,223.87312697089294,141.97610233931192,0.0,0.0,349.40797717707846,0.0,0.0,696.0830566110541,254.28230534517667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19966169553942492,0.0,36.36901675993198,0.0,0.0,0.0,0.0,0.0,0.0,5.324311881051331,294.401173400577,266.78131050916556,139.8214182111015,0.0,280.57044136581476,0.0,233.27475363041935,0.0,0.0,559.0527475103897,0.0,127.06636522490538,359.4908928018194,422.81693056476854,389.02732993873076,0.0,0.0,0.0,13.072849515443847,80.13343450489828,0.0,0.0,490.5646313132524,0.0,0.0,45.837333753463476,0.0,18.00324550967052,349.3081263631391
2017-06-01 05:00:00,0.0,0.0,0.0,330.12620285792855,0.0,58.54732968443331,0.0,535.7100208552943,0.0,0.0,40.85068639685745,0.0,40.83902524341246,0.0,255.81239566528734,306.82163591410006,0.0,398.1575819567522,0.0,112.81811625549322,273.220825216075,444.12337833824455,0.0,0.0,251.24684252493336,0.0,559.4021895467226,0.0,0.0,431.7542063006903,0.0,0.0,0.0,0.0,0.0,0.0,251.4404793096455,0.0,494.4453918310838,0.0,18.046467895651123,142.4216251522967,231.8570547311543,381.3146533787629,535.835276636205,61.172371936434615,76.45896965807438,0.0,0.0,69.65040531373039,101.09220009602963,40.94064386629022,0.0,0.0,0.0,750.9991136749338,18.045218486353445,0.0,0.019990548762837023,0.0,0.0,0.0,7.841502652984833,0.0,18.02231264922936,0.0,0.0,0.01665879063569752,207.3919448082945,83.01576137014582,395.8976287626856,0.0,0.0,257.6948390071211,77.23851276823468,0.0,0.0,156.7258989688841,0.0,73.62352688034427,257.3450027378924,0.0,141.94956000441573,46.94447201139561,0.0,0.0,0.0,499.3722391568657,21.109859569165792,0.0,249.91518378025043,0.0,0.0,0.0,250.92198777814193,489.7809521095163,0.0,0.0,0.0,0.0,0.0,159.6120361123978,41.26751099499043,0.0,530.0827180278951,0.0,560.0685411721506,0.0,0.0,292.0952366721994,491.80082880821556,0.0,0.0,0.0,22.335973214018143,0.0,0.0,220.31369226299287,157.80455566254557,0.0,0.0,349.80129909540904,0.0,0.0,688.4995009050932,254.84138641083473,0.0,0.0,56.461642433327725,0.0,0.0,0.0,0.0,0.0,0.19990548762837024,0.0,37.82919991118687,0.0,0.0,0.0,0.0,0.0,0.0,5.364130584694601,297.4593655910149,266.4407007591043,156.6384419839258,0.0,302.16959699628177,0.0,232.42095479417267,0.0,0.0,559.5687774530796,0.0,127.61966330195156,359.929840470155,443.66941296638925,391.0541436911238,0.0,0.0,0.0,2.402197609667582,80.12102495890599,0.0,0.0,499.6096235916663,0.0,0.0,45.93994693606304,0.0,18.01898089110222,349.71798681756076
