,N-Q-MNSP1,NSW1-QLD1,V-SA,VIC1-NSW1,T-V-MNSP1,V-S-MNSP1
2017-06-01 00:30:00,-98.35062856666099,-696.2384164786471,197.12206200846794,-252.2658564936591,237.765085138391,-0.0
2017-06-01 01:00:00,-96.03654876745527,-723.7502675705608,97.35570248374749,-195.72320145288927,159.645352809944,-0.0
2017-06-01 01:30:00,-93.2780316502181,-828.1580612626533,55.56304461426275,-125.93537069360023,60.8695004272345,-0.0
2017-06-01 02:00:00,-91.26326443820219,-823.7416329321723,97.01911530349572,-28.434861178003935,-3.19825261740637,-0.0
2017-06-01 02:30:00,-87.11797439880584,-869.0411576345666,67.98125412929743,-24.992871600541918,-193.481550271472,-0.0
2017-06-01 03:00:00,-84.25437091521292,-896.5976897176209,51.460326678166574,38.084158526931496,-257.990928877184,-0.0
2017-06-01 03:30:00,-82.00591273342995,-820.7418960123455,84.06123688834414,31.329834149849162,-289.390576913604,-0.0
2017-06-01 04:00:00,-81.07803224084738,-841.9244876189052,53.336210087718335,80.07796184470821,-288.762707412055,-0.0
2017-06-01 04:30:00,-80.7484327533091,-803.5421734945545,0.0,161.2937949391376,-245.48402277569,-11.7123973245709
2017-06-01 05:00:00,-82.25245269121739,-791.8339686606729,15.233492849097964,168.49401786011535,-152.986520383327,-0.0
2017-06-01 05:30:00,-86.79652025190114,-660.5628462178552,51.48213669734826,29.1025049588523,-150.836825164922,-0.0
2017-06-01 06:00:00,-91.91190888739872,-523.7196881347165,54.322043458403684,-133.94247396646432,-111.668860936157,-0.0
2017-06-01 06:30:00,-101.61725432653587,-447.4905298085774,-3.0743616651778485,10.149398659640351,115.64119618594,-16.57
2017-06-01 07:00:00,-110.49464309962404,-519.4055062211521,28.800971083833627,340.8817067728681,303.935199888904,-0.0
2017-06-01 07:30:00,-115.76880851575218,-517.9699761238018,58.60702518211551,276.8341556022621,227.442388444482,-0.0
2017-06-01 08:00:00,-119.62189880061666,-747.3107518721497,151.65609850459134,214.83763075238485,175.316582288349,-1.13383670652428e-25
2017-06-01 08:30:00,-117.89359518776355,-927.3418584343458,251.02746588679358,-95.98329662321055,285.651481254698,-0.0
2017-06-01 09:00:00,-113.87461528960644,-905.5074247067084,253.74360933725484,-138.14807359974475,177.38215811521,-0.0
2017-06-01 09:30:00,-111.95713327264642,-1026.8994668617497,172.00505105178584,-61.253019867239104,166.324531333785,-0.0
2017-06-01 10:00:00,-109.4490566988549,-1048.087694002498,169.76643280853511,-45.32651364048984,222.987465819942,-0.0
2017-06-01 10:30:00,-106.9619744537118,-1046.3433578289419,190.7985833581477,-163.6204017199491,139.144988457605,-0.0
2017-06-01 11:00:00,-104.21320880059756,-1046.5283831290283,145.20427158336025,-300.182280360616,160.891684648276,-0.0
2017-06-01 11:30:00,-101.69400408536548,-997.2762816716105,106.27135420184591,-361.4868068855165,185.969248658227,-0.0
2017-06-01 12:00:00,-99.81392180144314,-927.7824577554236,165.55644038365818,-368.9392297375046,203.903398055785,-0.0
2017-06-01 12:30:00,-98.56171908426255,-883.2984938509279,186.1294121973497,-314.45503637973496,137.242811676691,-0.0
2017-06-01 13:00:00,-97.9650442027097,-873.921358726696,159.87068930780484,-351.2748584438166,139.356876604373,-0.0
2017-06-01 13:30:00,-97.4134555023889,-842.1791175786713,292.15009705560533,-387.06440822368967,132.198297913277,-0.0
2017-06-01 14:00:00,-97.18068231749,-794.7467982279521,359.5511169462165,-313.15192517332093,142.827437774726,-0.0
2017-06-01 14:30:00,-97.32626594075847,-781.986224177765,360.3618681123422,-311.37754962388635,137.393839521473,-0.0
2017-06-01 15:00:00,-98.01563709307403,-799.0037388354939,383.8292650996618,-337.7106363968343,150.196214343026,-0.0
2017-06-01 15:30:00,-99.449905381685,-774.7401474428735,376.89817170508144,-273.4477050639898,192.037830834204,-0.0
2017-06-01 16:00:00,-102.45370050253125,-770.5788186147058,368.1631041009993,-130.1525188108011,227.211211456207,-0.0
2017-06-01 16:30:00,-105.76208547349437,-751.876409140554,333.3133016274627,197.1288723521266,205.80347875892,-0.0
2017-06-01 17:00:00,-111.69235234079652,-830.7242339606496,397.0837410298584,38.06492924749889,255.018309727154,-0.0
2017-06-01 17:30:00,-120.44710211208728,-674.2342929031435,489.69196352524904,119.6929722587492,247.749143559775,-0.0
2017-06-01 18:00:00,-127.05343225124535,-499.6500122309462,400.6317346718701,570.3545415928509,370.274388692771,-0.0
2017-06-01 18:30:00,-127.64941879414512,-454.7306671622052,443.9368627147581,566.9332207611374,458.997696095198,-0.0
2017-06-01 19:00:00,-127.03232319948359,-452.36244636078186,437.70859886956674,473.424867189665,459.188817513538,-0.0
2017-06-01 19:30:00,-124.69942881067166,-538.0598090087922,445.38317064205796,482.32146061478716,318.643152631045,-0.0
2017-06-01 20:00:00,-122.57292129205621,-511.01279334398396,391.68817327894845,623.1309289412254,323.896348483933,-0.0
2017-06-01 20:30:00,-120.33914766802882,-557.5755364513145,300.0612021545827,781.9794246511334,334.549611344535,-0.0
2017-06-01 21:00:00,-117.5132880867528,-801.1146764734941,369.82930929018084,443.91313583839616,256.136430188842,-0.0
2017-06-01 21:30:00,-114.26662414756105,-897.9598068779437,458.34426964442787,130.71112679843128,254.209302571602,-0.0
2017-06-01 22:00:00,-109.62194442169944,-901.874143432932,438.8228102160202,-113.88661073743245,249.778624860814,-0.0
2017-06-01 22:30:00,-108.12492259334002,-846.8457623168108,209.46084401483657,50.49651784124604,316.390650439355,-0.0
2017-06-01 23:00:00,-103.71255715994126,-719.7372366330912,66.20511847108263,-1.0933787190700421,278.099101700772,-0.0
2017-06-01 23:30:00,-102.1687283037676,-760.6773318318156,15.035703571923854,-117.1056051607323,337.391262850065,-0.0
2017-06-02 00:00:00,-100.10359764761026,-823.1558649768014,209.63830008871395,-268.3449468388478,367.190818555118,-0.0
